Id,Fecha,Hora,Evento,Ministerio,Ubicacion,Estado,Telefono,Fecha_Contacto,Dia_Secuencia,Email,Email_Enviado,Resultado,Notas,Version_Mensaje
28,24/02/2026,12:00,Elysium Beauty Clinic,Prospeccion Automatica,Lo Barnechea,Agendado,56945782258,24/02/2026 12:59,1,,No,,,
29,24/02/2026,12:00,Body Clinic Clinica Estetica Integral,Prospeccion Automatica,Lo Barnechea,Error,56944199640,27/02/2026 16:03,2,,No,,,
30,24/02/2026,12:00,Clínica Estética KineNova,Prospeccion Automatica,La Reina,Finalizado,56966645305,28/02/2026 15:50,4,,No,,,
31,24/02/2026,17:08,Clinica Borealis Estetica Integral,Prospeccion Automatica,Vitacura,Error,56232529509,24/02/2026 17:08,0,reservasborealis@gmail.com,Si,,,
32,24/02/2026,17:08,Carolina Varela,Prospeccion Automatica,Vitacura,Error,56222193000,24/02/2026 17:08,0,,No,,,
33,24/02/2026,17:08,Central Klinic,Prospeccion Automatica,Vitacura,Error,56222080120,24/02/2026 17:08,0,,No,,,
34,24/02/2026,17:08,CLÍNICA GINESTETICA,Prospeccion Automatica,Vitacura,Error,56226051272,24/02/2026 17:08,0,,No,,,
35,24/02/2026,17:08,Aesthetic Clinic Inspires,Prospeccion Automatica,Vitacura,Error,56229536028,24/02/2026 17:08,0,,No,,,
36,24/02/2026,17:08,Centro de Estética Maricel,Prospeccion Automatica,Vitacura,Error,56223341060,24/02/2026 17:08,0,,No,,,
37,24/02/2026,17:08,Centro de Estética Lucrecia Michaud,Prospeccion Automatica,Vitacura,Error,56222011378,24/02/2026 17:08,0,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,No,,,
38,24/02/2026,17:08,Clínica Estetica Nutrapiel,Prospeccion Automatica,Vitacura,Mas Adelante,56966662764,24/02/2026 17:08,1,,No,,,
39,24/02/2026,17:08,CB Medicina Estética | Cara Bonita | Rinomodelación | Botox | Sculptra | Mesoterapia | Exosomas,Prospeccion Automatica,Vitacura,Error,56931007002,27/02/2026 16:03,2,contacto@cbestetica.com,No,,,
40,24/02/2026,17:08,GG Cirujano Plástico - Cirugia plástica estética Santiago Chile,Prospeccion Automatica,Vitacura,Error,56994129342,24/02/2026 17:08,0,gonzalogomez@blissps.com,No,,,
41,24/02/2026,17:08,"Clínica EM Estétika Médica, Las Condes",Prospeccion Automatica,Vitacura,Error,56442229928,24/02/2026 19:03,0,consultas@estetikamedica.cl,No,,,
42,25/02/2026,09:56,The Beauty Clinic,Prospeccion Automatica,Vitacura,Finalizado,56982629090,03/03/2026 12:06,4,,,,,
43,25/02/2026,10:53,Clínica Estética W,Prospeccion Automatica,Las Condes,Error,566004230100,25/02/2026 10:53,0,,No,,,
44,25/02/2026,10:53,CLINICA VS,Prospeccion Automatica,Las Condes,Finalizado,56995283756,02/03/2026 16:07,4,contacto@clinicavs.cl,No,,,
45,25/02/2026,10:53,Clínica Avaria - Las Condes,Prospeccion Automatica,Las Condes,Finalizado,56961426693,03/03/2026 14:07,4,contacto@clinicaavaria.cl,No,,,
46,25/02/2026,10:53,Clínica La Parva,Prospeccion Automatica,Las Condes,Error,56222071125,25/02/2026 10:53,0,,No,,,
47,25/02/2026,10:53,Milos Clínica Estética,Prospeccion Automatica,Las Condes,Finalizado,56966350767,03/03/2026 12:06,4,contacto@clinicamilos.cl,No,,,
48,25/02/2026,10:53,Clínica Estética Bien Être,Prospeccion Automatica,Las Condes,Rechazado,56957122756,25/02/2026 10:53,1,contacto@clinicabienetre.cl,No,,,
49,25/02/2026,10:53,Clínica Santiago Estética,Prospeccion Automatica,Las Condes,Finalizado,56964968073,03/03/2026 17:49,4,,No,,,
50,25/02/2026,10:53,Ama Clínica Facial,Prospeccion Automatica,Las Condes,Error,56968569876,28/02/2026 13:43,1,hola@amaclinica.cl,No,,,
51,25/02/2026,10:53,Clínica Syal - Medicina Estética,Prospeccion Automatica,Las Condes,Rechazado,56983096086,25/02/2026 10:53,1,,No,,,
52,25/02/2026,10:53,"Cosmeclinic Clínica Estética , Estética Regenerativa, Pro Age, Tratamientos No Invasivos",Prospeccion Automatica,Las Condes,Finalizado,56954385895,02/03/2026 10:35,4,,No,,,
53,25/02/2026,10:54,Clinica Gulfo - Medicina Estetica y Dermatología,Prospeccion Automatica,Las Condes,Rechazado,56947464746,25/02/2026 11:40,1,,No,,,
54,25/02/2026,10:54,Clínica estética Buddha Clinic,Prospeccion Automatica,Las Condes,Rechazado,56942017135,25/02/2026 11:40,1,contacto@buddhaclinic.cl,No,,,
55,25/02/2026,10:54,Clínica estética Meu,Prospeccion Automatica,Las Condes,Error,56957117131,26/02/2026 18:11,1,,No,,,
56,25/02/2026,10:54,Kintegra,Prospeccion Automatica,Las Condes,Correo,56944951115,25/02/2026 11:40,1,marketing@kintegra.cl,Si,,,
57,25/02/2026,10:54,Clínica Orión,Prospeccion Automatica,Las Condes,Correo,56994956497,25/02/2026 14:50,1,administracion@clinicaorion.cl,Si,,,
58,25/02/2026,13:04,Clínica Avaria - Providencia,Prospeccion Automatica,Providencia,Finalizado,56950176115,03/03/2026 12:06,4,contacto@clinicaavaria.cl,No,,,
59,25/02/2026,13:04,Clínica Arrayán,Prospeccion Automatica,Providencia,Finalizado,56971003645,02/03/2026 10:35,4,clinicaarrayan@clinicaarrayan.cl,No,,,
60,25/02/2026,13:04,Clínica Dermonova Chile,Prospeccion Automatica,Providencia,Error,56981231240,26/02/2026 18:11,1,contacto@dermonova.cl,No,,,
61,25/02/2026,13:04,Clínica Estética Me Quiero ®,Prospeccion Automatica,Providencia,Finalizado,56939147080,04/03/2026 10:32,4,contacto@mequiero.cl,No,,,
62,25/02/2026,13:04,Aurora Estética - Centro de belleza y Estética,Prospeccion Automatica,Providencia,Finalizado,56948441269,03/03/2026 17:49,4,contacto@auraestetica.cl,No,,,
63,25/02/2026,13:04,Clínica Balance Facial | Centro Estética Providencia | Bótox | Ácido Hialurónico | Tratamiento Dental | Limpieza Facial,Prospeccion Automatica,Providencia,Finalizado,56958360407,02/03/2026 12:01,4,,No,,,
64,25/02/2026,13:04,Clínica BeYou Estética y Dental,Prospeccion Automatica,Providencia,Error,56232595985,25/02/2026 13:04,0,,No,,,
65,25/02/2026,13:04,Clinica Estética Magnética,Prospeccion Automatica,Providencia,Finalizado,56928734862,02/03/2026 12:01,4,,No,,,
66,25/02/2026,13:04,Franvide Wellness | Clínica Estética integral,Prospeccion Automatica,Providencia,Finalizado,56964977339,02/03/2026 16:07,4,,No,,,
67,25/02/2026,13:04,Clínica Bela,Prospeccion Automatica,Providencia,Finalizado,56973017686,02/03/2026 16:07,4,,No,,,
68,25/02/2026,13:04,Pro Esthetic Fit,Prospeccion Automatica,Providencia,Finalizado,56975473353,02/03/2026 14:06,4,,No,,,
69,25/02/2026,13:04,Clinica Estetica Dental VeraFondi,Prospeccion Automatica,Providencia,Error,56232450853,25/02/2026 14:58,0,hola@verafondiclinic.cl,No,,,
70,25/02/2026,13:04,Clinica MIAPAU Chile,Prospeccion Automatica,Providencia,Error,56984531232,27/02/2026 13:56,1,,No,,,
71,25/02/2026,13:04,Centro de Estética NCA - Guardia Vieja,Prospeccion Automatica,Providencia,Error,56990784304,27/02/2026 11:59,1,,No,,,
72,25/02/2026,13:04,Clínica Be Now,Prospeccion Automatica,Providencia,Finalizado,56930778917,03/03/2026 17:49,4,contacto@clinicabenow.cl,No,,,
73,25/02/2026,18:35,Clínica de Cirugía Estética Smer / Autorizada por SEREMI de Salud,Prospeccion Automatica,Providencia,Error,56950146178,25/02/2026 18:35,0,clinica@smer.cl,No,,,
74,25/02/2026,19:34,Centro de Estética NCA - Casa Therapy,Prospeccion Automatica,Vitacura,Error,56984305677,25/02/2026 19:34,0,,No,,,
75,03/03/2026,10:33,Novo Skin Clínica Estética,Prospeccion Automatica,Las Condes,Finalizado,56972897803,07/03/2026 10:09,4,,No,,,
76,04/03/2026,11:58,MIRADA DE MUJER SALON,Prospeccion Automatica,La Reina,Finalizado,56987411435,09/03/2026 12:11,4,,No,,,
77,04/03/2026,11:58,Clínica de Medicina Estética Gliamori,Prospeccion Automatica,La Reina,Finalizado,56942529181,09/03/2026 14:10,4,,No,,,
78,04/03/2026,11:58,EL CLUB BEAUTY,Prospeccion Automatica,La Reina,Finalizado,56995314568,09/03/2026 14:10,4,388fe63e6063cc241ca2a1b0f52622a3@o61919.ingest.us.sentry.io,No,,,
79,04/03/2026,11:58,Kine Estética La Reina,Prospeccion Automatica,La Reina,Finalizado,56981913525,09/03/2026 10:40,4,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,No,,,
80,04/03/2026,11:58,Centro de Estetica y Barberia PQ,Prospeccion Automatica,La Reina,Finalizado,56998672420,09/03/2026 12:11,4,,No,,,
81,04/03/2026,11:58,Clínica Le Ciel,Prospeccion Automatica,La Reina,Error,56228306344,04/03/2026 16:07,0,,No,,,
82,04/03/2026,11:58,Medicina Estética EB,Prospeccion Automatica,La Reina,Rechazado,56982192819,05/03/2026 15:22,2,,No,,,
83,04/03/2026,11:58,Clínica Auraskin,Prospeccion Automatica,La Reina,Finalizado,56961127276,09/03/2026 10:40,4,,No,,,
84,04/03/2026,11:58,Dúo belleza JF,Prospeccion Automatica,La Reina,Finalizado,56926391366,09/03/2026 12:11,4,,No,,,
85,04/03/2026,11:58,DR JULIAN DÍAZ SANTAMARÍA,Prospeccion Automatica,La Reina,Finalizado,56996765686,09/03/2026 14:10,4,,No,,,
86,04/03/2026,11:58,Amaite,Prospeccion Automatica,La Reina,Finalizado,56979615494,09/03/2026 12:11,4,admi.amaite@gmail.com,No,,,
87,04/03/2026,11:58,Salón y Spa Studio 1,Prospeccion Automatica,La Reina,Finalizado,56939100902,09/03/2026 12:11,4,,No,,,
88,04/03/2026,11:58,Clínica Cela | Depilación Láser,Prospeccion Automatica,La Reina,Error,566007573600,04/03/2026 17:49,0,atencionalcliente@cela.cl,No,,,
89,04/03/2026,11:58,Pause BeautyBar La Reina,Prospeccion Automatica,La Reina,Finalizado,56939589794,09/03/2026 10:40,4,,No,,,
90,05/03/2026,10:37,Clinica Huinganal,Prospeccion Automatica,Lo Barnechea,Error,56232598300,05/03/2026 12:06,0,contacto@clinicahuinganal.cl,No,,,
91,05/03/2026,10:37,Clínica Donka,Prospeccion Automatica,Lo Barnechea,Error,56222162359,05/03/2026 12:06,0,dehesa@clinicadonka.cl,No,,,
92,05/03/2026,10:37,Ora by Paloma Sahid,Prospeccion Automatica,Lo Barnechea,Finalizado,56941087673,09/03/2026 10:40,4,,No,,,
93,05/03/2026,10:37,Clínica Mediterránea,Prospeccion Automatica,Lo Barnechea,Error,56223212075,05/03/2026 12:06,0,climed621@gmail.com,No,,,
94,05/03/2026,10:37,Clinica DMR,Prospeccion Automatica,Lo Barnechea,Error,56982832938,17/03/2026 10:52,0,,No,,,
95,06/03/2026,11:57,Clínica Elevare ® Medicina Estética Facial,Prospeccion Automatica,Providencia,Finalizado,56933654331,10/03/2026 12:10,4,,No,,,
96,07/03/2026,13:44,Clinica San Diego cirugía plástica y Estética,Prospeccion Automatica,Ñuñoa,Error,56232518999,07/03/2026 15:50,0,info@sandiegoclinica.com,No,,,
97,09/03/2026,16:10,Clínica Estética Integral Pura Belleza,Prospeccion Automatica,Las Condes,Finalizado,56942193395,13/03/2026 13:59,4,contacto@clinicapurabelleza.cl,No,,,
98,09/03/2026,16:10,Áurea Estética,Prospeccion Automatica,Las Condes,Rechazado,56984123929,12/03/2026 12:09,3,,No,,,
99,10/03/2026,14:08,Método Hebe Vitacura,Prospeccion Automatica,Vitacura,Finalizado,56985614273,14/03/2026 13:49,4,contacto@metodohebe.cl,No,,,
100,11/03/2026,14:11,Clínica Dental Amatista - Odontología y Estética,Prospeccion Automatica,Ñuñoa,Error,56956438512,16/03/2026 10:55,3,,No,,,
101,12/03/2026,10:36,Bendov ESTETICA CLINIC,Prospeccion Automatica,Las Condes,Error,56935340819,16/03/2026 10:55,3,contacto@clinicabendov.cl,No,,,
102,12/03/2026,10:36,Clínica Estética Dr. Günther Rochefort,Prospeccion Automatica,Las Condes,Error,56948943178,16/03/2026 12:19,3,,No,,,
103,12/03/2026,14:11,NEO CLÍNICA,Prospeccion Automatica,Vitacura,Error,56952196531,16/03/2026 10:55,2,,No,,,
104,12/03/2026,14:11,Liza Estética,Prospeccion Automatica,Vitacura,Error,56959180938,16/03/2026 12:19,2,contacto@liza.cl,No,,,
105,12/03/2026,14:11,CLÍNICA ESSENZA,Prospeccion Automatica,Vitacura,Error,56978539951,16/03/2026 10:55,2,contacto@clinicaessenza.cl,No,,,
106,12/03/2026,14:11,"Dr. Vicente De Carolis, Cirugia plástica estética, Vitacura, Santiago Chile",Prospeccion Automatica,Vitacura,Error,56224360197,12/03/2026 16:12,0,,No,,,
107,13/03/2026,16:02,Clinica Dra. Raveau,Prospeccion Automatica,Las Condes,Error,56942474542,16/03/2026 12:19,1,,No,,,
108,14/03/2026,11:48,Clínica Estética Kalos,Prospeccion Automatica,Vitacura,Error,56926132862,17/03/2026 10:52,0,,No,,,
109,14/03/2026,17:46,Maritza Salones & Spa,Prospeccion Automatica,Ñuñoa,Error,56971442432,17/03/2026 10:52,0,,No,,,
110,17/03/2026,14:17,Clinica Estética Infinite Glow,Prospeccion Automatica,La Reina,Error,56978510577,17/03/2026 16:21,0,contacto@infiniteglow.cl,No,,,
111,17/03/2026,17:57,IDERMA. Medical and Cosmetic Dermatology.,Prospeccion Automatica,Vitacura,Error,56243672323,18/03/2026 10:54,0,contacto@iderma.cl,No,,,
112,18/03/2026,16:18,Klauclinic - Centro de Estética y Depilación Láser en Providencia,Prospeccion Automatica,Providencia,Nuevo,+56977782197,,0,contacto@klauclinic.cl,No,,,
113,18/03/2026,16:18,Centro Integral de Cirugía Estética,Prospeccion Automatica,Providencia,Nuevo,+56222749845,,0,estetica.cince@gmail.com,No,,,
114,18/03/2026,16:18,Clinica Bellese Spa,Prospeccion Automatica,Providencia,Nuevo,+56227103007,,0,,No,,,
